run,time_relative_to_start,total_link_fraction,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
R4: confined replace,384,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,396,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,408,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,420,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,432,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
R4: confined replace,444,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,456,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,468,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,480,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,492,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
R4: confined replace,504,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,516,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,528,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,540,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,552,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
R4: confined replace,564,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,576,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,588,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,600,1.0000004820474928,0.39999671180213825,0.5999647513766893,3.901886866526864e-05
R4: confined replace,612,1.000000482047493,0.3999949714175692,0.5988862823563438,0.001119228273579998
R4: confined replace,624,0.9998581366459875,0.3999561203268696,0.5952144415160368,0.004687574803081196
R4: confined replace,636,0.9993212509891123,0.3997346350684599,0.5878693381670115,0.01171727775364089
R4: confined replace,648,0.9984384788000794,0.39938648537213894,0.576036601732499,0.0230153916954414
R4: confined replace,660,0.9972969505767242,0.3989119250477787,0.5593278799215561,0.039057145607389356
R4: confined replace,672,0.996009336296228,0.39839527231733746,0.5380206603489461,0.0595934036299444
R4: confined replace,684,0.9947027247756978,0.39788752132196575,0.5125914303021296,0.08422377315160241
R4: confined replace,696,0.9935060798788307,0.39740130894928066,0.4842060260313013,0.11189874489824872
R4: confined replace,708,0.9925375116536002,0.39701873375998886,0.4541311131291232,0.14138766476448805
R4: confined replace,720,0.9918926187524103,0.39674344739454376,0.42377886036430645,0.17137031099356007
R4: confined replace,732,0.9916350527495064,0.39664009953588386,0.3947733855003818,0.2002215677132407
R4: confined replace,744,0.9917902356669426,0.3967188907210075,0.3683510013203685,0.22672034362556648
